[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:18] 46 bb a9 bb a8 c5 99 35 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a7 bb a6 c5 88 36 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a5 bb a4 c5 88 37 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a3 bb a3 c5 88 38 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a3 bb a2 c5 88 39 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a2 bb a1 c5 88 3a 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:18] 46 bb a0 bb a0 c5 88 3b 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 9f bb 9e c5 88 3c 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 9d bb 9c c5 88 3d 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 9b bb 9a c5 88 3e 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 99 bb 98 c5 88 3f 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 97 bb 96 c5 88 40 6a 68 8c 6a 68 8c 6a 68 8c 6a 68 8c 
[08:50:19] 46 bb 95 bb 95 c5 88 41 6a 68 8c 6a 68 8c 6a 68 8c 6a 69 8c 
[08:50:19] 46 bb 95 bb 96 c5 88 42 6a 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:19] 46 bb 97 bb 97 c5 88 43 6a 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:19] 46 bb 98 bb 99 c5 88 44 6a 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:19] 46 bb 9b bb 9d c5 77 45 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:19] 10 11 01 0c 32 22 02 
[08:50:19] 46 bb 9f bb a1 c5 77 46 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:19] 46 bb a3 bb a4 c5 77 47 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:19] 46 bb a6 bb a8 c5 77 48 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb aa bb aa c5 77 49 69 69 8c 69 69 8c 6a 69 8c 6a 69 8c 
[08:50:20] 46 bb aa bb aa c5 77 4a 6a 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:20] 46 bb aa bb aa c5 77 4b 6a 69 8c 6a 69 8c 6a 69 8c 69 8c 46 
[08:50:20] 46 bb aa bb aa c5 77 4c 6a 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:20] 46 bb aa bb aa c5 77 4d 6a 69 8c 6a 69 8c 6a 69 8c 69 69 8c 
[08:50:20] 46 bb aa bb aa c5 77 4e 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb ab bb ac c5 77 4f 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb ac bb ac c5 77 50 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb ad bb ad c5 77 51 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb ad bb ad c5 77 52 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:20] 46 bb ad bb ad c5 77 53 69 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:20] 46 bb ad bb ad c5 66 54 6a 69 8c 6a 69 8c 6a 69 8c 6a 69 8c 
[08:50:21] 46 bb ad bb ad c5 66 55 6a 69 8c 6a 69 8c 6a 69 8c 69 69 8c 
[08:50:21] 46 bb ad bb ad c5 66 56 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:21] 46 bb ad bb ad c5 66 57 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:21] 46 bb ac bb ac c5 66 58 69 69 8c 69 69 8c 69 69 8c 69 69 8c 
[08:50:21] 46 bb ac bb ac c5 66 59 69 69 8b 69 69 8b 69 69 8b 69 69 8b 
[08:50:21] 46 bb ac bb ab c5 66 5a 69 69 8b 69 69 8b 69 69 8b 69 69 8b 
[08:50:21] 46 bb ab bb ab c5 66 5b 6a 69 8b 6a 69 8b 6a 69 8b 6a 69 8b 
[08:50:21] 46 bb ab bb ab c5 66 5c 6a 69 8b 6a 69 8b 6a 69 8b 6a 69 8b 
[08:50:21] 46 bb ab bb aa c5 66 5d 6a 69 8b 6a 69 8b 6a 69 8b 6a 69 8b 
[08:50:21] 46 bb a9 bb a9 ca 66 5e 6a 69 8b 6a 69 8b 6a 69 8b 6a 69 8b 
[08:50:21] 10 11 01 0c 32 22 02 
